M. Debuchy,76
C. Candero,85
S. Terodde,83
J. Terry,90
Recio,74
J. Morrison,64
R. Zobnin,72
Fábio Coentrão,66
J. Campbell,72
C. Stuani,72
A. Veznera,73
J. Willems,75
A. Lennon,63
T. Lagardo,65
F. Forster,93
S. Okaka,90
Ricardo Ferreira,76
W. Morgan,101
J. Lukaku,86
C. Davies,89
C. Kouyaté,83
N. Pejčinović,80
M. Lang,79
Álvaro,75
J. Leca,75
A. Abdennour,84
Charles,75
Mexer,79
F. Magnanelli,79
M. Hinteregger,86
S. Azmoun,79
S. Driussi,82
C. Sánchez,66
W. Hoedt,77
Mariano,75
P. Hetemaj,76
A. Januzaj,75
K. Tete,71
Diogo Jota,70
Bruno César,75
Raphinha,68
M. Diouf,79
M. Valdifiori,71
Rafael Tolói,75
B. Oczipka,85
Y. Sankharé,80
S. Bell,88
M. Marega,83
B. André,76
A. Baba,70
Rony Lopes,68
S. Davis,70
A. Diawara,74
Everticinho,75
H. Saivet,73
Yuri,80
J. Gouweleeuw,75
T. Kongolo,70
I. Radovanović,80
Sergio,75
Rui Fonte,73
M. Cáceres,78
M. Höger,83
S. Dann,78
D. Latza,76
S. Arias,72
O. Ndidi,74
O. Trejo,79
V. Janssen,88
G. Clichy,65
C. Ruvios,71
Otávio,71
J. Shelvey,80
R. Vormer,81
L. Fer,90
J. Maidana,86
R. Funes Mori,78
S. Cook,82
A. Chedjou,77
Sergio Álvarez,73
L. Holtby,72
D. Janmaat,80
O. Alonso,70
Ari,84
P. Schick,73
A. Schöpf,73
J. Clasie,66
J. Ménez,78
S. Sinclair,70
L. Krejčí,68
H. Maguire,100
G. Escalante,75
R. Alessandrini,70
S. Long,70
S. Berahino,82
Agirretxe,78
M. Harnik,80
K. Grosicki,78
G. Pereiro,79
Aarón Martín,72
G. Morenda,80
J. Vossen,73
B. Cesar,89
D. Tarasov,84
Ricardo Horta,63
C. Davilo,90
R. Ahumera,88
Alcalá,93
Alan Patrick,68
Palhinha,82
Y. Lodygin,82
Chico Flores,75
L. Bailey,75
J. Olsson,84
M. Lehmann,75
J. Korb,70
D. Ings,73
L. Rupp,73
T. Strobl,77
M. Rog,73
F. Fabra,72
M. Lestienne,63
M. Alustiza,68
Manquillo,76
N. Petersen,85
R. Yanbaev,71
R. Rey,80
T. Cleverley,67
D. Fletcher,83
J. Jankto,74
C. Atsu,65
A. Dembal,69
Javi López,76
S. Vokes,90
P. Gulácsi,83
A. Chahechouhe,68
Xandão,88
E. Capoue,87
M. Pašalić,83
